storename,ccnt,Category,prod,name,unit,OpeningQty,Opening ,PurchasesQty,Purchases,ClosingQty,Closing,UsageQty,Usage
The Grove,BEV,Cold Bev,10078,large fanta orange,EACH,22, R208.56 ,0, R-   ,6, R56.88 ,16, R151.68 
The Grove,BEV,Cold Bev,10079,large grapetiser red,EACH,23, R330.74 ,96," R1,380.84 ",42, R603.96 ,77," R1,107.62 "
The Grove,BEV,Cold Bev,10081,large sprite,EACH,28, R265.44 ,24, R227.94 ,9, R85.32 ,43, R408.06 
The Grove,BEV,Cold Bev,10082,large sprite zero,EACH,19, R180.12 ,48, R455.39 ,23, R218.04 ,44, R417.47 
The Grove,BEV,Cold Bev,10086,rose kola tonic tot,TOT,91, R127.40 ,240, R327.18 ,70, R98.00 ,261, R356.58 
The Grove,BEV,Cold Bev,10087,roses lime tot,TOT,1, R1.39 ,90, R121.50 ,34, R47.60 ,57, R75.29 
The Grove,BEV,Cold Bev,10088,roses passion fruit tot,TOT,132, R184.80 ,420, R574.95 ,189, R264.60 ,363, R495.15 
The Grove,BEV,Cold Bev,13689,slo jo clas choc flav pwdr 1kg,Kg,0, R-   ,3, R420.00 ,0, R-   ,3, R420.00 
The Grove,BEV,Cold Bev,13558,slo jo strawberry daiquri frui,LITRE,6.44, R721.28 ,11," R1,232.00 ",6.2, R694.40 ,11.24," R1,258.88 "
The Grove,BEV,Cold Bev,13313,slojo mojito mint syrup 1l ,LTR,2.51, R306.22 ,4, R488.00 ,3.64, R444.08 ,2.87, R350.14 
The Grove,BEV,Cold Bev,13415,slojo watermelon syrup 1lt,LITRE,5.3, R646.60 ,2, R244.00 ,2.78, R339.16 ,4.52, R551.44 
The Grove,BEV,Cold Bev,10070,small dry lemon,EACH,5, R38.05 ,24, R182.53 ,17, R129.37 ,12, R91.21 
The Grove,BEV,Cold Bev,13460,small f&l grapefruit tonic,EACH,7, R45.92 ,0, R-   ,1, R6.56 ,6, R39.36 
The Grove,BEV,Cold Bev,13459,small f&l sf indian tonic ,EACH,24, R157.44 ,0, R-   ,24, R157.44 ,0, R-   
The Grove,BEV,Cold Bev,10072,small lemonade,EACH,78, R593.58 ,312," R2,373.69 ",98, R745.78 ,292," R2,221.49 "
The Grove,BEV,Cold Bev,10114,small red bull,EACH,25, R339.25 ,0, R-   ,15, R203.55 ,10, R135.70 
The Grove,BEV,Cold Bev,10066,small soda water,EACH,24, R182.64 ,72, R548.39 ,26, R197.86 ,70, R533.17 
The Grove,BEV,Cold Bev,10064,small tomato cocktail,EACH,27, R527.58 ,0, R-   ,26, R508.04 ,1, R19.54 
The Grove,BEV,Cold Bev,10068,small tonic water,EACH,24, R182.64 ,24, R182.53 ,26, R197.86 ,22, R167.31 
The Grove,BEV,Cold Bev,10071,smalll ginger ale,EACH,14, R106.54 ,24, R182.93 ,18, R136.98 ,20, R152.49 
The Grove,BEV,Cold Bev,13548,sparklng ginger flavourd drink,EACH,37, R393.31 ,24, R255.00 ,37, R393.31 ,24, R255.00 
The Grove,BEV,Cold Bev,13545,sparklng grapefruit flav drink,EACH,33, R350.79 ,72, R765.00 ,46, R488.98 ,59, R626.81 
The Grove,BEV,Cold Bev,13547,sparklng peach flavoured drink,EACH,0, R-   ,48, R510.00 ,42, R446.46 ,6, R63.54 
The Grove,BEV,Cold Bev,13546,sparklng rose flavoured drink,EACH,14, R602.00 ,0, R-   ,13, R559.00 ,1, R43.00 
The Grove,BEV,Cold Bev,10118,syrup cranberry prt 1lt,LITRE,3.9, R493.55 ,0, R-   ,2.3, R291.07 ,1.6, R202.48 
The Grove,BEV,Cold Bev,10115,syrup ms banana prt 1lt,LITRE,1.01, R59.59 ,0, R-   ,1, R59.00 ,0.01, R0.59 
The Grove,BEV,Cold Bev,10116,syrup ms bubble gum prt 1lt,LITRE,2.05, R120.95 ,0, R-   ,2.23, R131.57 ,-0.18,-R10.62 
The Grove,BEV,Cold Bev,10117,syrup ms chocolate prt 1lt,LITRE,1.07, R63.13 ,1, R59.00 ,2.17, R128.03 ,-0.1,-R5.90 
The Grove,BEV,Cold Bev,13112,syrup ms strawberry prt 1lt,LITRE,1.08, R63.72 ,1, R59.00 ,1.38, R81.42 ,0.7, R41.30 
The Grove,BEV,Cold Bev,13544,syrup ocean's limeade 1lt,LITRE,5.31, R608.79 ,4, R458.58 ,3.21, R368.03 ,6.1, R699.34 
The Grove,BEV,Cold Bev,11436,syrup pina colada (1l),LT,2.69, R330.87 ,3, R369.00 ,2, R246.00 ,3.69, R453.87 
The Grove,BEV,Cold Bev,13543,syrup white peach fruit 1lt,LITRE,2.4, R403.20 ,2, R275.88 ,2.31, R388.08 ,2.09, R291.00 
The Grove,BEV,Cold Bev,10128,water sparkling small,EACH,60, R337.80 ,120, R675.00 ,86, R484.18 ,94, R528.62 
The Grove,BEV,Cold Bev,10130,water still large,EACH,19, R193.23 ,72, R732.00 ,48, R488.16 ,43, R437.07 
The Grove,BEV,Cold Bev,10131,water still small,EACH,62, R349.06 ,168, R945.00 ,112, R630.56 ,118, R663.50 
The Grove,BEV,Hot Bev,11414,coffee decaf ground ob 1kg,KG,0.35, R105.00 ,0, R-   ,0, R-   ,0.35, R105.00 
The Grove,BEV,Hot Bev,11413,coffee espresso beans ob 1kg,KG,0.86, R246.78 ,4," R1,147.80 ",2.12, R697.48 ,2.74, R697.10 
The Grove,BEV,Hot Bev,11357,hot chocolate,KG,0.32, R43.82 ,0, R-   ,0.21, R28.76 ,0.11, R15.06 
The Grove,BEV,Hot Bev,10623,sugar sachet's brown ob case,CASE,1.45, R558.25 ,0, R-   ,1, R385.00 ,0.45, R173.25 
The Grove,BEV,Hot Bev,10624,sugar sachet's white ob case,CASE,0.22, R84.70 ,1, R385.00 ,1.25, R481.25 ,-0.03,-R11.55 
The Grove,BEV,Hot Bev,10180,tea five roses tagless prt eac,EACH,258, R136.74 ,0, R-   ,205, R108.65 ,53, R28.09 
The Grove,BEV,Hot Bev,10182,tea rooibos tagless prt each,EACH,102, R63.24 ,0, R-   ,62, R38.44 ,40, R24.80 
The Grove,BEV,Spirits,10889,amarula tot,TOT,32, R138.24 ,0, R-   ,0, R-   ,32, R138.24 
The Grove,BEV,Spirits,10965,angostura bitters 118ml,BTL,1.89, R463.35 ,0, R-   ,0.84, R205.93 ,1.05, R257.42 
The Grove,BEV,Spirits,10133,bacardi tot,TOT,43, R288.96 ,150," R1,008.60 ",52, R349.44 ,141, R948.12 
The Grove,BEV,Spirits,10134,bells tot,TOT,47, R317.72 ,0, R-   ,29, R196.04 ,18, R121.68 
The Grove,BEV,Spirits,10868,brandy 1920 tot,TOT,18, R148.50 ,0, R-   ,18, R148.50 ,0, R-   
The Grove,BEV,Spirits,10135,cane mainstay tot,TOT,32, R159.36 ,0, R-   ,32, R159.36 ,0, R-   
The Grove,BEV,Spirits,10898,cape velvet tot,TOT,14, R55.30 ,0, R-   ,14, R55.30 ,0, R-   
The Grove,BEV,Spirits,10883,captain morgan tot,TOT,16, R92.96 ,0, R-   ,6, R34.86 ,10, R58.10 
The Grove,BEV,Spirits,10901,frangelico tot,TOT,25, R184.00 ,0, R-   ,24, R176.64 ,1, R7.36 
The Grove,BEV,Spirits,10877,gordons gin tot,TOT,53, R263.41 ,30, R149.07 ,42, R208.74 ,41, R203.74 
The Grove,BEV,Spirits,10902,grappa tot,TOT,17, R161.84 ,0, R-   ,16, R152.32 ,1, R9.52 
The Grove,BEV,Spirits,10140,j & b tot,TOT,31, R199.95 ,0, R-   ,15, R96.75 ,16, R103.20 
The Grove,BEV,Spirits,10881,jack daniels tot,TOT,35, R332.85 ,0, R-   ,27, R256.77 ,8, R76.08 
The Grove,BEV,Spirits,10903,jagermeister tot,TOT,18, R154.44 ,0, R-   ,5, R42.90 ,13, R111.54 
The Grove,BEV,Spirits,10141,jameson irish tot,TOT,35, R365.05 ,30, R312.96 ,26, R271.18 ,39, R406.83 
The Grove,BEV,Spirits,10142,johnnie walker black label tot,TOT,38, R476.52 ,0, R-   ,34, R426.36 ,4, R50.16 
The Grove,BEV,Spirits,10143,johnnie walker red label tot,TOT,16, R124.80 ,0, R-   ,13, R101.40 ,3, R23.40 
The Grove,BEV,Spirits,10904,kahlua tot,TOT,12, R92.40 ,30, R230.94 ,11, R84.70 ,31, R238.64 
The Grove,BEV,Spirits,10870,klipdrif red tot,TOT,3, R15.18 ,30, R159.20 ,27, R143.37 ,6, R31.01 
The Grove,BEV,Spirits,10989,malibu tot,TOT,15, R76.50 ,0, R-   ,15, R76.50 ,0, R-   
The Grove,BEV,Spirits,10144,peppermint tot,TOT,1, R4.06 ,0, R-   ,1, R4.06 ,0, R-   
The Grove,BEV,Spirits,13451,pienaar & son empire gin,TOT,10, R86.90 ,0, R-   ,10, R86.90 ,0, R-   
The Grove,BEV,Spirits,10145,port alesverloren tot,TOT,29, R86.71 ,0, R-   ,29, R86.71 ,0, R-   
The Grove,BEV,Spirits,10146,red heart tot,TOT,18, R102.24 ,0, R-   ,18, R102.24 ,0, R-   
The Grove,BEV,Spirits,10875,richelieu tot,TOT,13, R69.68 ,60, R374.26 ,42, R235.62 ,31, R208.32 
The Grove,BEV,Spirits,10147,sherry old brown tot,TOT,18, R21.42 ,0, R-   ,18, R21.42 ,0, R-   
The Grove,BEV,Spirits,10878,smirnoff vodka tot,TOT,27, R124.74 ,60, R279.04 ,46, R212.52 ,41, R191.26 
The Grove,BEV,Spirits,11008,spiced gold tot,TOT,14, R68.74 ,0, R-   ,13, R63.83 ,1, R4.91 
The Grove,BEV,Spirits,10148,strawberry liquor tot,TOT,40, R114.40 ,0, R-   ,40, R114.40 ,0, R-   
The Grove,BEV,Spirits,10885,stroh tot,TOT,40, R403.20 ,0, R-   ,40, R403.20 ,0, R-   
The Grove,BEV,Spirits,11340,tanqueray gin tot,TOT,20, R170.20 ,0, R-   ,19, R161.69 ,1, R8.51 
The Grove,BEV,Spirits,10149,teq jose cuervo gold tot,TOT,22, R181.72 ,0, R-   ,6, R49.56 ,16, R132.16 
The Grove,BEV,Spirits,10932,teq jose silver tot,TOT,20, R165.20 ,30, R247.65 ,28, R231.28 ,22, R181.57 
The Grove,BEV,Wine,13560,alvi's drift blnc de blnc brut,EACH,2, R197.56 ,0, R-   ,1, R98.78 ,1, R98.78 
The Grove,BEV,Wine,11075,alvi's drift chenin blanc btl,BTL,4.44, R257.79 ,14, R848.78 ,6.33, R391.45 ,12.11, R715.12 
The Grove,BEV,Wine,13561,arniston bay rose 750ml,EACH,3.77, R242.52 ,6, R385.08 ,4.33, R278.55 ,5.44, R349.05 
The Grove,BEV,Wine,13570,arniston bay sauv blanc 750ml,EACH,2.67, R171.76 ,8, R516.32 ,5.66, R371.41 ,5.01, R316.67 
The Grove,BEV,Wine,13564,arniston bay shiraz 750ml,EACH,3, R192.21 ,6, R393.72 ,5, R328.10 ,4, R257.83 
The Grove,BEV,Wine,11081,beyerskloof pinotage btl,BTL,1.66, R131.77 ,1, R84.01 ,1.22, R102.49 ,1.44, R113.29 
The Grove,BEV,Wine,13247,de grendal rose btl,BTL,2, R137.34 ,0, R-   ,2, R137.34 ,0, R-   
The Grove,BEV,Wine,13245,diemersdal sauv blanc btl,BTL,5, R347.70 ,0, R-   ,5, R347.70 ,0, R-   
The Grove,BEV,Wine,13568,diemersdal unwooded card 750ml,EACH,3, R204.03 ,0, R-   ,0, R-   ,3, R204.03 
The Grove,BEV,Wine,10154,durbanville hills chard btl,BTL,2.33, R143.85 ,8, R529.33 ,4.66, R309.89 ,5.67, R363.29 
The Grove,BEV,Wine,13453,durbanville hills spark wine,BTL,9, R676.17 ,0, R-   ,9, R676.17 ,0, R-   
The Grove,BEV,Wine,11076,durbaville hills sav blanc bt,BTL,12.66, R781.63 ,12, R782.04 ,8.1, R527.88 ,16.56," R1,035.79 "
The Grove,BEV,Wine,10156,graca btl,BTL,6.21, R276.78 ,18, R863.84 ,9.66, R463.58 ,14.55, R677.04 
The Grove,BEV,Wine,13115,graca rose btl,BTL,7.22, R328.44 ,0, R-   ,7.22, R328.44 ,0, R-   
The Grove,BEV,Wine,13000,graham beck brut mcc,BTL,1, R155.64 ,0, R-   ,1, R155.64 ,0, R-   
The Grove,BEV,Wine,10157,jc le roux domaine btl,BTL,3, R206.94 ,4, R289.72 ,4, R289.72 ,3, R206.94 
The Grove,BEV,Wine,13730,ken forester old vintage res,ea,4, R507.64 ,0, R-   ,4, R507.64 ,0, R-   
The Grove,BEV,Wine,13567,laborie chardonnay 750ml,EACH,2.88, R160.96 ,12, R712.56 ,7, R415.66 ,7.88, R457.86 
The Grove,BEV,Wine,13572,lavenir pinotage,EACH,7, R493.85 ,0, R-   ,6, R423.30 ,1, R70.55 
The Grove,BEV,Wine,13252,marras swart shiraz btl,BTL,2, R132.12 ,0, R-   ,2, R132.12 ,0, R-   
The Grove,BEV,Wine,13243,marras swartland chen btl,BTL,0, R-   ,3, R208.62 ,3, R208.62 ,0, R-   
The Grove,BEV,Wine,11080,ned baronne btl,BTL,6.33, R388.35 ,4, R259.04 ,4, R259.04 ,6.33, R388.35 
The Grove,BEV,Wine,10920,ned stein 750ml,BTL,6.33, R330.24 ,0, R-   ,4.88, R254.59 ,1.45, R75.65 
The Grove,BEV,Wine,10163,nederburg rose btl,BTL,6.87, R351.26 ,6, R327.07 ,1.99, R108.47 ,10.88, R569.86 
The Grove,BEV,Wine,10164,nitida sauv blanc btl,BTL,0.22, R17.10 ,0, R-   ,0.22, R17.10 ,0, R-   
The Grove,BEV,Wine,13554,ob dry white 750ml,EACH,31.36, R940.80 ,24, R720.00 ,8.66, R259.80 ,46.7," R1,401.00 "
The Grove,BEV,Wine,13556,ob red 750ml,EACH,20.88, R626.40 ,0, R-   ,4.66, R139.80 ,16.22, R486.60 
The Grove,BEV,Wine,13557,ob rose 750ml,EACH,10.66, R319.80 ,0, R-   ,0.55, R16.50 ,10.11, R303.30 
The Grove,BEV,Wine,10168,pierre jourdan tranquille btl,BTL,0.66, R38.99 ,4, R250.32 ,0, R-   ,4.66, R289.31 
The Grove,BEV,Wine,10983,pongracz,BTL,4, R528.84 ,0, R-   ,4, R528.84 ,0, R-   
The Grove,BEV,Wine,13563,robertson sweet red 750ml,EACH,0, R-   ,9, R413.19 ,5, R229.55 ,4, R183.64 
The Grove,BEV,Wine,10170,robertsons sweet rose btl,BTL,2.66, R113.58 ,8, R367.28 ,6.33, R290.61 ,4.33, R190.25 
The Grove,BEV,Wine,11555,rupert & roth classique,BTL,3, R482.43 ,0, R-   ,3, R482.43 ,0, R-   
The Grove,BEV,Wine,13244,secateurs chenin btl,BTL,0.33, R25.57 ,0, R-   ,0.33, R25.57 ,0, R-   
The Grove,BEV,Wine,13010,simonsig chenin btl,BTL,5.01, R304.86 ,6, R385.98 ,3.66, R235.45 ,7.35, R455.39 
The Grove,BEV,Wine,13562,simonsig rose 750ml,EACH,5.66, R782.27 ,0, R-   ,4.66, R644.06 ,1, R138.21 
The Grove,BEV,Wine,13569,stellenrust chen blanc 750ml,EACH,3, R189.03 ,0, R-   ,3, R189.03 ,0, R-   
The Grove,BEV,Wine,10173,two oceans cab merlot btl,BTL,3.66, R166.02 ,0, R-   ,2, R90.72 ,1.66, R75.30 
The Grove,BEV,Wine,10174,two oceans sauv blanc btl,BTL,1.65, R74.84 ,44," R2,134.87 ",20.33, R992.51 ,25.32," R1,217.20 "
The Grove,BEV,Wine,10175,v loveren river red btl,BTL,3.33, R147.52 ,0, R-   ,3.33, R147.52 ,0, R-   
The Grove,BEV,Wine,13565,van loveren colombar 750ml,EACH,0, R-   ,6, R274.91 ,4.88, R223.60 ,1.12, R51.31 
The Grove,BEV,Wine,13566,van lovern sav blnc 750ml,EACH,4, R234.84 ,6, R330.71 ,2, R110.24 ,8, R455.31 
The Grove,BEV,Wine,13246,wolftrap red btl,BTL,1, R50.11 ,0, R-   ,1, R50.11 ,0, R-   
The Grove,EXP,Administration Costs,11155,administration costs,EACH,0, R-   ,38," R3,485.00 ",0, R-   ,38," R3,485.00 "
The Grove,EXP,Cashup Variance,9999999998,cashup variance,,0, R-   ,15,-R736.95 ,0, R-   ,15,-R736.95 
The Grove,EXP,Cleaning & Laundry,11405,all purpose cleaner lt,LT,4, R256.12 ,0, R-   ,0, R-   ,4, R256.12 
The Grove,EXP,Cleaning & Laundry,11066,auto rinse (25lt),LITRE,0, R-   ,25, R715.00 ,0, R-   ,25, R715.00 
The Grove,EXP,Cleaning & Laundry,11065,auto wash ( 25lt),LITRE,0, R-   ,25, R685.00 ,0, R-   ,25, R685.00 
The Grove,EXP,Cleaning & Laundry,13150,bacterex - 200 x15g sachet,EACH,0, R-   ,400, R399.55 ,0, R-   ,400, R399.55 
The Grove,EXP,Cleaning & Laundry,13191,best - 25l,LITRE,0, R-   ,125," R2,946.95 ",0, R-   ,125," R2,946.95 "
The Grove,EXP,Cleaning & Laundry,13170,blk abrasive scouring pads 10,EACH,0, R-   ,2, R115.41 ,0, R-   ,2, R115.41 
The Grove,EXP,Cleaning & Laundry,11473,cleaning materials,EACH,0, R-   ,5, R317.89 ,0, R-   ,5, R317.89 
The Grove,EXP,Cleaning & Laundry,10546,folded paper towels,EACH,0, R-   ,1, R279.95 ,0, R-   ,1, R279.95 
The Grove,EXP,Cleaning & Laundry,11309,green dishwash lt,LT,0, R-   ,10, R104.17 ,0, R-   ,10, R104.17 
The Grove,EXP,Cleaning & Laundry,13029,green pads,PACK,0, R-   ,2, R79.90 ,0, R-   ,2, R79.90 
The Grove,EXP,Cleaning & Laundry,10535,haccp cloth red 50,PKT,0, R-   ,2, R159.90 ,0, R-   ,2, R159.90 
The Grove,EXP,Cleaning & Laundry,13189,hygen f29 - 5l,LITRE,0, R-   ,20, R488.76 ,0, R-   ,20, R488.76 
The Grove,EXP,Cleaning & Laundry,10534,mop caps 100,PKT,0, R-   ,1, R29.93 ,0, R-   ,1, R29.93 
The Grove,EXP,Cleaning & Laundry,13194,ob50 p - 5l,EACH,0, R-   ,1, R143.77 ,0, R-   ,1, R143.77 
The Grove,EXP,Cleaning & Laundry,13198,ovenklean plus- 5l,EACH,0, R-   ,2, R320.92 ,0, R-   ,2, R320.92 
The Grove,EXP,Cleaning & Laundry,10544,paper towels (roll),EACH,0, R-   ,12," R1,398.12 ",0, R-   ,12," R1,398.12 "
The Grove,EXP,Cleaning & Laundry,13514,refresher wipes,CS,0, R-   ,1, R402.30 ,0, R-   ,1, R402.30 
The Grove,EXP,Cleaning & Laundry,10533,refuse bags pkt 200,PKT,0, R-   ,1, R214.99 ,0, R-   ,1, R214.99 
The Grove,EXP,Cleaning & Laundry,13186,steriklens - 6x1lkk,EACH,0, R-   ,1, R686.80 ,0, R-   ,1, R686.80 
The Grove,EXP,Cleaning & Laundry,10543,toilet paper 2 ply,PKT,0, R-   ,2, R589.90 ,0, R-   ,2, R589.90 
The Grove,EXP,Cleaning & Laundry,13180,towel tidy fold 1 ply 20 x 100,EACH,0, R-   ,1, R497.34 ,0, R-   ,1, R497.34 
The Grove,EXP,Cleaning & Laundry,11350,window cleaning,EACH,0, R-   ,1, R250.00 ,0, R-   ,1, R250.00 
The Grove,EXP,Computer Repairs,11148,computer repairs,EACH,0, R-   ,1, R250.00 ,0, R-   ,1, R250.00 
The Grove,EXP,Cutlery & Crockery,10707,beer glass,EACH,0, R-   ,24, R892.77 ,0, R-   ,24, R892.77 
The Grove,EXP,Cutlery & Crockery,10647,bread basket 24cm,EACH,0, R-   ,20, R578.00 ,0, R-   ,20, R578.00 
The Grove,EXP,Cutlery & Crockery,10713,caraffes 250ml,EACH,0, R-   ,48," R1,028.04 ",0, R-   ,48," R1,028.04 "
The Grove,EXP,Cutlery & Crockery,10712,glass 140ml liquid dessert cas,EACH,0, R-   ,12, R338.66 ,0, R-   ,12, R338.66 
The Grove,EXP,Cutlery & Crockery,13681,ob plate 21.5cm steel blue,Ea,0, R-   ,24," R2,496.00 ",0, R-   ,24," R2,496.00 "
The Grove,EXP,Cutlery & Crockery,10637,sauce bowls 6.5cm,EACH,0, R-   ,36, R187.20 ,0, R-   ,36, R187.20 
The Grove,EXP,Cutlery & Crockery,13719,vinisimo wine 43cl (2x12),Ea,0, R-   ,96," R1,760.01 ",0, R-   ,96," R1,760.01 "
The Grove,EXP,Cutlery & Crockery,10711,wine glasses 300ml,EACH,0, R-   ,24, R458.93 ,0, R-   ,24, R458.93 
The Grove,EXP,Deposit,11067,clean drum deposits ,EACH,0, R-   ,2, R140.00 ,0, R-   ,2, R140.00 
The Grove,EXP,Discounts & Returns,11525,crate deposit,EACH,0, R-   ,2, R200.00 ,0, R-   ,2, R200.00 
The Grove,EXP,Discounts & Returns,11527,discounts,EACH,0, R-   ,2,-R175.43 ,0, R-   ,2,-R175.43 
The Grove,EXP,Discounts & Returns,11528,draught keg deposit,EACH,0, R-   ,-1,-R313.05 ,0, R-   ,-1,-R313.05 
The Grove,EXP,Discounts & Returns,11529,suremix gas cylinder deposit,EACH,0, R-   ,3, R345.00 ,0, R-   ,3, R345.00 
The Grove,EXP,Freight & Delivery,11141,delivery,EACH,0, R-   ,7, R341.83 ,0, R-   ,7, R341.83 
The Grove,EXP,Occupational Cost,11517,refuse removal,EACH,0, R-   ,3," R1,291.92 ",0, R-   ,3," R1,291.92 "
The Grove,EXP,Occupational Cost,11160,repairs & maintenance,EACH,0, R-   ,4," R4,231.30 ",0, R-   ,4," R4,231.30 "
The Grove,EXP,Operational Cost,11475,cutlery & crockery,EACH,0, R-   ,5, R130.00 ,0, R-   ,5, R130.00 
The Grove,EXP,Operational Cost,11349,laundry,EACH,0, R-   ,1," R1,500.00 ",0, R-   ,1," R1,500.00 "
The Grove,EXP,Operational Cost,11199,pest contol,EACH,0, R-   ,1," R3,739.13 ",0, R-   ,1," R3,739.13 "
The Grove,EXP,Operational Cost,11193,promotions,EACH,0, R-   ,24," R5,061.89 ",0, R-   ,24," R5,061.89 "
The Grove,EXP,Operational Cost,11113,stationary,EACH,0, R-   ,7, R127.75 ,0, R-   ,7, R127.75 
The Grove,EXP,Packaging & Consumab,10744,bags butcher 15 x 25,PACKET,0, R-   ,8, R151.60 ,0, R-   ,8, R151.60 
The Grove,EXP,Packaging & Consumab,10762,fomo no. 41 sleeve x 75,EACH,0, R-   ,300, R287.55 ,0, R-   ,300, R287.55 
The Grove,EXP,Packaging & Consumab,13738,ob table overlay 800x800,Cs,0, R-   ,3," R3,315.00 ",0, R-   ,3," R3,315.00 "
The Grove,EXP,Packaging & Consumab,13522,ocean basket 500ml tubs & lids,EACH,0, R-   ,3," R1,128.73 ",0, R-   ,3," R1,128.73 "
The Grove,EXP,Packaging & Consumab,13602,ocean basket earth straws cs,CS,0, R-   ,1, R320.00 ,0, R-   ,1, R320.00 
The Grove,EXP,Packaging & Consumab,10767,platter  box one  (100),EACH,0, R-   ,300," R2,832.84 ",0, R-   ,300," R2,832.84 "
The Grove,EXP,Packaging & Consumab,10768,platter box two  (100),EACH,0, R-   ,300," R3,273.36 ",0, R-   ,300," R3,273.36 "
The Grove,EXP,Packaging & Consumab,10749,salad tub 500ml one piece x 25,EACH,0, R-   ,1, R66.87 ,0, R-   ,1, R66.87 
The Grove,EXP,Packaging & Consumab,10770,serviettes ob logo case,CASE,0, R-   ,4, R900.00 ,0, R-   ,4, R900.00 
The Grove,EXP,Packaging & Consumab,10766,take away box (100),EACH,0, R-   ,600," R3,479.95 ",0, R-   ,600," R3,479.95 "
The Grove,EXP,Packaging & Consumab,13250,taw coffee cup,EACH,0, R-   ,500, R899.91 ,0, R-   ,500, R899.91 
The Grove,EXP,Packaging & Consumab,13251,taw coffee lids,EACH,0, R-   ,500, R295.00 ,0, R-   ,500, R295.00 
The Grove,EXP,Packaging & Consumab,10750,tub & lid 35ml (250's),CASE,0, R-   ,7," R1,082.50 ",0, R-   ,7," R1,082.50 "
